author,content,poem name,age,type
EDMUND SPENSER,"Penelope for her Ulisses sake,
Devizd a Web her wooers to deceave:
In which the worke that she all day did make
The same at night she did again unreave:
Such subtile craft my Damzell doth conceave,
Th importune suit of my desire to shnone:
For all that I in many dayes doo weave,
In one short houre I find by her undonne.
So when I thinke to end that I begonne,
I must begin and never bring to end:
For with one looke she spils that long I sponne,
And with one word my whole years work doth rend.
Such labour like the Spyders web I fynd,
Whose fruitless worke is broken with least wynd.",Amoretti XXIII: Penelope for her Ulisses sake,Renaissance,Love
EDMUND SPENSER,"My Love is like to ice, and I to fire:
How comes it then that this her cold so great
Is not dissolved through my so hot desire,
But harder grows the more I her entreat?
Or how comes it that my exceeding heat
Is not allayed by her heart-frozen cold,
But that I burn much more in boiling sweat,
And feel my flames augmented manifold?
What more miraculous thing may be told,
That fire, which all things melts, should harden ice,
And ice, which is congeald with senseless cold,
Should kindle fire by wonderful device?
Such is the power of love in gentle mind,
That it can alter all the course of kind.","Amoretti XXX: My Love is like to ice, and I to fire",Renaissance,Love
EN JONSON,"Though beauty be the mark of praise,
   And yours of whom I sing be such
   As not the world can praise too much,
Yet tis your virtue now I raise.

A virtue, like allay, so gone
   Throughout your form, as, though that move
   And draw and conquer all mens love,
This subjects you to love of one.

Wherein you triumph yet; because
   Tis of yourself, and that you use
   The noblest freedom, not to choose
Against or faith or honors laws.

But who should less expect from you,
   In whom alone Love lives again?
   By whom he is restored to men,
And kept, and bred, and brought up true.

His falling temples you have reared,
   The withered garlands taen away;
   His altars kept from the decay
That envy wished, and nature feared;

And on them burn so chaste a flame,
   With so much loyalties expense,
   As Love, t acquit such excellence,
Is gone himself into your name.

And you are he; the deity
   To whom all lovers are designed
   That would their better objects find;
Among which faithful troop am I.

Who, as an offspring at your shrine,
   Have sung this hymn, and here entreat
   One spark of your diviner heat
To light upon a love of mine.

Which, if it kindle not, but scant
   Appear, and that to shortest view,
   Yet give me leave t adore in you
What I in her am grieved to want.",An Elegy,Renaissance,Love
GEORGE GASCOIGNE,"And if I did, what then?
Are you aggrievd therefore?
The sea hath fish for every man,
And what would you have more?

   Thus did my mistress once,
Amaze my mind with doubt;
And poppd a question for the nonce
To beat my brains about.

   Whereto I thus replied:
Each fisherman can wish
That all the seas at every tide
Were his alone to fish.

   And so did I (in vain)
But since it may not be,
Let such fish there as find the gain,
And leave the loss for me.

   And with such luck and loss
I will content myself,
Till tides of turning time may toss
Such fishers on the shelf.

   And when they stick on sands,
That every man may see,
Then will I laugh and clap my hands,
As they do now at me.","And If I Did, What Then?",Renaissance,Love
JOHN DONNE,"All Kings, and all their favourites,
         All glory of honours, beauties, wits,
    The sun itself, which makes times, as they pass,
    Is elder by a year now than it was
    When thou and I first one another saw:
    All other things to their destruction draw,
         Only our love hath no decay;
    This no tomorrow hath, nor yesterday,
    Running it never runs from us away,
But truly keeps his first, last, everlasting day.

         Two graves must hide thine and my corse;
         If one might, death were no divorce.
    Alas, as well as other Princes, we
    (Who Prince enough in one another be)
    Must leave at last in death these eyes and ears,
    Oft fed with true oaths, and with sweet salt tears;
         But souls where nothing dwells but love
    (All other thoughts being inmates) then shall prove
    This, or a love increased there above,
When bodies to their graves, souls from their graves remove.

         And then we shall be throughly blessed;
         But we no more than all the rest.
    Here upon earth were Kings, and none but we
    Can be such Kings, nor of such subjects be;
    Who is so safe as we? where none can do
    Treason to us, except one of us two.
         True and false fears let us refrain,
    Let us love nobly, and live, and add again
    Years and years unto years, till we attain
To write threescore: this is the second of our reign.",The Anniversary,Renaissance,Love
SIR WALTER RALEGH,"As you came from the holy land
Of Walsingham,
Met you not with my true love
By the way as you came?

How shall I know your true love,
That have met many one,
I went to the holy land,
That have come, that have gone?

She is neither white, nor brown,
But as the heavens fair;
There is none hath a form so divine
In the earth, or the air.

Such a one did I meet, good sir,
Such an angelic face,
Who like a queen, like a nymph, did appear
By her gait, by her grace.

She hath left me here all alone,
All alone, as unknown,
Who sometimes did me lead with herself,
And me loved as her own.

Whats the cause that she leaves you alone,
And a new way doth take,
Who loved you once as her own,
And her joy did you make?

I have lovd her all my youth;
But now old, as you see,
Love likes not the falling fruit
From the withered tree.

Know that Love is a careless child,
And forgets promise past;
He is blind, he is deaf when he list,
And in faith never fast.

His desire is a dureless content,
And a trustless joy:
He is won with a world of despair,
And is lost with a toy.

Of womenkind such indeed is the love,
Or the word love abusd,
Under which many childish desires
And conceits are excusd.

But true love is a durable fire,
In the mind ever burning,
Never sick, never old, never dead,
From itself never turning.",As You Came from the Holy Land (attributed),Renaissance,Love
SIR PHILIP SIDNEY,"Stella is sick, and in that sick-bed lies
Sweetness, that breathes and pants as oft as she;
And grace, sick too, such fine conclusions tries
That sickness brags itself best graced to be.
    Beauty is sick, but sick in so fair guise
That in that paleness beautys white we see;
And joy, which is inseparate from these eyes,
Stella now learns (strange case!) to weep in thee.
   Love moves thy pain, and like a faithful page,
As thy looks stir, runs up and down, to make
All folks prest at thy will thy pain to assuage;
Nature with care sweats for her darlings sake,
   Knowing worlds pass, ere she enough can find
   Of such heaven stuff, to clothe so heavenly mind.","Astrophil and Stella 101: Stella is sick, and in that sick-bed lies",Renaissance,Love
SIR PHILIP SIDNEY,"Where be the roses gone, which sweetened so our eyes?
    Where those red cheeks, which oft with fair increase did frame
    The height of honor in the kindly badge of shame?
Who hath the crimson weeds stolen from my morning skies?
How doth the color vade of those vermilion dyes,
    Which Nature's self did make, and self engrained the same!
    I would know by what right this paleness overcame
That hue, whose force my heart still unto thraldom ties?
    Galen's adoptive sons, who by a beaten way
    Their judgements hackney on, the fault on sickness lay;
But feeling proof makes me say they mistake it far:
    It is but love, which makes his paper perfect white
    To write therein more fresh the story of delight,
Whiles beauty's reddest ink Venus for him doth stir.","Astrophil and Stella 102: Where be the roses gone, which sweetened so our eyes?",Renaissance,Love
SIR PHILIP SIDNEY,"O absent presence, Stella is not here;
    False flattering hope, that with so fair a face
    Bare me in hand, that in this orphan place
Stella, I say my Stella, should appear.
What sayst thou now? Where is that dainty cheer
    Thou toldst mine eyes should help their famished case?
    But thou art gone, now that self-felt disgrace
Doth make me most to wish thy comfort near.
    But here I do store of fair ladies meet,
    Who may with charm of conversation sweet
Make in my heavy mould new thoughts to grow:
    Sure they prevail as much with me, as he
    That bade his friend, but then new maimed, to be
Merry with him, and not think of his woe.","Astrophil and Stella 106: O absent presence, Stella is not here",Renaissance,Love
SIR PHILIP SIDNEY,"Stella, since thou so right a princess art
Of all the powers which life bestows on me,
There ere by them aught undertaken be
They first resort unto that sovereign part;
Sweet, for a while give respite to my heart,
Which pants as though it still should leap to thee,
And on my thoughts give thy lieutenancy
To this great cause, which needs both use and art,
And as a queen, who from her presence sends
Whom she employs, dismiss from thee my wit,
Till it have wrought what thy own will attends.
On servants shame oft masters blame doth sit.
Oh let not fools in me thy works reprove,
And scorning say, See what it is to love.","Astrophil and Stella 107: Stella, since thou so right a princess art ",Renaissance,Love
