,0,1,2,3,4,5,6,7,8,haiku,lang
6046,end of an affair—,the ligustrum tree,no longer in bloom,,,,,,,"end of an affair—
the ligustrum tree
no longer in bloom",en
6047,alone by candlelight,thinking of that spring we met,and another spring…,,,,,,,"alone by candlelight
thinking of that spring we met
and another spring…",en
6048,spicy chicken …,this impulse to ask,if she's married,,,,,,,"spicy chicken …
this impulse to ask
if she's married",en
6049,church graveyard,a cloud of crows hover,over stone angels,,,,,,,"church graveyard
a cloud of crows hover
over stone angels",en
6050,photoshopping,my wedding pictures,winter solstice,,,,,,,"photoshopping
my wedding pictures
winter solstice",en
6051,prometna konica,seme topola jadra,v izpušnih plinih,,,,,,,"prometna konica
seme topola jadra
v izpušnih plinih",sl
6052,night rain--,never too old,for a lullaby,,,,,,,"night rain--
never too old
for a lullaby",en
6053,crossroads--,a spiderweb spans,both signs,,,,,,,"crossroads--
a spiderweb spans
both signs",en
6054,open window,the promise,of purple clover,,,,,,,"open window
the promise
of purple clover",en
6055,half moon,only broken crackers,in the tin,,,,,,,"half moon
only broken crackers
in the tin",en
6056,revision notes,brushing sand,into the gaps,,,,,,,"revision notes
brushing sand
into the gaps",en
6057,tombes oubliées –,leurs noms lus,à voix haute,,,,,,,"tombes oubliées –
leurs noms lus
à voix haute",fr
6058,bruit feutré,des roues de la poussette,dans les pétales du cerisier,,,,,,,"bruit feutré
des roues de la poussette
dans les pétales du cerisier",fr
6059,Le village abandonné,la rosée du matin,sur les fleurs du cimetière,,,,,,,"Le village abandonné
la rosée du matin
sur les fleurs du cimetière",fr
6060,Après la lessive.,Une nouvelle fleur jaune,Dans la robe de ma fille.,,,,,,,"Après la lessive.
Une nouvelle fleur jaune
Dans la robe de ma fille.",fr
6061,oiseau de nuit -,la pupille dilatée,de la barmaid,,,,,,,"oiseau de nuit -
la pupille dilatée
de la barmaid",fr
6062,square de banlieue -,des déchets jusque dans mon,haïsha,,,,,,,"square de banlieue -
des déchets jusque dans mon
haïsha",fr
6063,Heidegger en main,un vieil homme déambule -,fleurs de Magnolia,,,,,,,"Heidegger en main
un vieil homme déambule -
fleurs de Magnolia",fr
6064,po?asen grom,kuš?arjeva rebra,pritisnjena ob beton,,,,,,,"po?asen grom
kuš?arjeva rebra
pritisnjena ob beton",sl
6065,fosilne školjke,v krušljivi skali –,dolg poletni dež,,,,,,,"fosilne školjke
v krušljivi skali –
dolg poletni dež",sl
6066,blisk iz daljave,kos trga meso,z zrele ?ešnje,,,,,,,"blisk iz daljave
kos trga meso
z zrele ?ešnje",sl
6067,pointing,every which way,cut tulips,,,,,,,"pointing
every which way
cut tulips",en
6068,winter solstice . . .,the reverse side,of the needlepoint,,,,,,,"winter solstice . . .
the reverse side
of the needlepoint",en
6069,quietly joining,the conversation . . .,prairie stars,,,,,,,"quietly joining
the conversation . . .
prairie stars",en
6070,painted clouds . . .,the pause before,"answering ""fine""",,,,,,,"painted clouds . . .
the pause before
answering ""fine""",en
6071,in and out,of the rusted shed,moonshine,,,,,,,"in and out
of the rusted shed
moonshine",en
6072,dusk,the old gate sags,into its shadow,,,,,,,"dusk
the old gate sags
into its shadow",en
6073,easing into,a glass of Merlot,moonlight through the pines,,,,,,,"easing into
a glass of Merlot
moonlight through the pines",en
6074,cloud with thunder—,the way he says,"""whatever""",,,,,,,"cloud with thunder—
the way he says
""whatever""",en
6075,approaching storm—,the silence,between us,,,,,,,"approaching storm—
the silence
between us",en
6076,seniors dance,the occasional rush,of cologne,,,,,,,"seniors dance
the occasional rush
of cologne",en
6077,lullabies,of suburban,night trains,,,,,,,"lullabies
of suburban
night trains",en
6078,winter greys--,seabirds string,between pier lights,,,,,,,"winter greys--
seabirds string
between pier lights",af
6079,steady drizzle--,a rainbow fades,into the grey,,,,,,,"steady drizzle--
a rainbow fades
into the grey",en
6080,above the oil refinery,moon sails,seaward,,,,,,,"above the oil refinery
moon sails
seaward",en
6081,dark early--,sepia roses,under street lights,,,,,,,"dark early--
sepia roses
under street lights",en
6082,storm watch—,scars i’ve learned,to love,,,,,,,"storm watch—
scars i’ve learned
to love",en
6083,after the stroke,only half,a smile,,,,,,,"after the stroke
only half
a smile",en
6084,spent candle,reading the last page,by first light,,,,,,,"spent candle
reading the last page
by first light",en
6085,restless dreams,but there you are,morning sky,,,,,,,"restless dreams
but there you are
morning sky",en
6086,seed catalog,the colours of,a winter daydream,,,,,,,"seed catalog
the colours of
a winter daydream",en
6087,in the rubble,of my childhood home,wild flowers,,,,,,,"in the rubble
of my childhood home
wild flowers",en
6088,in the hospice,an out of tune piano helps,her sing without words,,,,,,,"in the hospice
an out of tune piano helps
her sing without words",en
6089,pregled,pri okulistu,popoldanski grom,,,,,,,"pregled
pri okulistu
popoldanski grom",sl
6090,after surgery,both of us said nothing...,her red bra,in the corner of my mind,begins to change color,,,,,"after surgery
both of us said nothing...
her red bra
in the corner of my mind
begins to change color",en
6091,a new moon --,mother's letter heavy,with voices from the past,,,,,,,"a new moon --
mother's letter heavy
with voices from the past",en
6092,stonehenge—,scent of lemon,from the hotel soap,,,,,,,"stonehenge—
scent of lemon
from the hotel soap",en
6093,light breeze,the desire of my skin,for touch,,,,,,,"light breeze
the desire of my skin
for touch",en
6094,eyelids closed,window open,whatever story,the rain tells me,,,,,,"eyelids closed
window open
whatever story
the rain tells me",en
6095,shadows. a window ledge,just big enough to hold,two doves,,,,,,,"shadows. a window ledge
just big enough to hold
two doves",en
6096,sparks,in the heat of blue,dragonflies,,,,,,,"sparks
in the heat of blue
dragonflies",en
6097,ruined stadium -,all that remains,are bird songs,,,,,,,"ruined stadium -
all that remains
are bird songs",en
6098,long day -,a warm breeze carries,the smell of the brewery,,,,,,,"long day -
a warm breeze carries
the smell of the brewery",en
6099,growing up her favourite doll now lives alone,,,,,,,,,growing up her favourite doll now lives alone,en
6100,blottis tout l’hiver,les décolletés blancs,tremblotent enfin,,,,,,,"blottis tout l’hiver
les décolletés blancs
tremblotent enfin",fr
6101,premières touffeurs,des effluves de femmes,redécouvertes,,,,,,,"premières touffeurs
des effluves de femmes
redécouvertes",fr
6102,chaleur sèche -,les profonds soupirs,de l'ordinateur,,,,,,,"chaleur sèche -
les profonds soupirs
de l'ordinateur",fr
6103,écrire la pluie ?,ce plus-d’encre-dans mon Pilot 0.5,pointille le jour,,,,,,,"écrire la pluie ?
ce plus-d’encre-dans mon Pilot 0.5
pointille le jour",fr
6104,décrue -,elle chasse la mouche,avec son soutien-gorge,,,,,,,"décrue -
elle chasse la mouche
avec son soutien-gorge",fr
6105,lune de miel,couper en deux,le premier melon,,,,,,,"lune de miel
couper en deux
le premier melon",fr
6106,matin calme,juste le bruit d'une feuille,que le vent roule,,,,,,,"matin calme
juste le bruit d'une feuille
que le vent roule",fr
6107,"Sous l'orage qui gronde,",l'éclair des fleurs,du sureau,,,,,,,"Sous l'orage qui gronde,
l'éclair des fleurs
du sureau",fr
6108,a day,at the beach,June 6,,,,,,,"a day
at the beach
June 6",en
6109,old teahouse --,a swear word from,the green parrot,,,,,,,"old teahouse --
a swear word from
the green parrot",en
6110,good news,the headlines blurred,in morning rain,,,,,,,"good news
the headlines blurred
in morning rain",en
6111,almost dawn . . .,thoughts of you,when we were us,,,,,,,"almost dawn . . .
thoughts of you
when we were us",en
6112,biker couple,covering their tattoos,with sunscreen,,,,,,,"biker couple
covering their tattoos
with sunscreen",en
6113,ocean view --,the old dog,on a leash,,,,,,,"ocean view --
the old dog
on a leash",en
6114,empty ferris wheel --,the last time,we kissed,,,,,,,"empty ferris wheel --
the last time
we kissed",en
6115,crossing the border,without a passport --,great blue heron,,,,,,,"crossing the border
without a passport --
great blue heron",en
6116,strawberry moon --,the ribbon,in my granddaughter's hair,,,,,,,"strawberry moon --
the ribbon
in my granddaughter's hair",en
6117,another meeting,swallowing,my cold coffee,,,,,,,"another meeting
swallowing
my cold coffee",en
6118,heat lightning,the first drop of sweat,on her chin,,,,,,,"heat lightning
the first drop of sweat
on her chin",en
6119,ripened tomatoes—,the last colour,of sunset,,,,,,,"ripened tomatoes—
the last colour
of sunset",en
6120,leaden sky—,the weight,of the dead sparrow,,,,,,,"leaden sky—
the weight
of the dead sparrow",en
6121,a whispering,among my kinfolk—,wind in the cypresses,,,,,,,"a whispering
among my kinfolk—
wind in the cypresses",en
6122,sultry afternoon,wood pigeons cooing,from the shade,,,,,,,"sultry afternoon
wood pigeons cooing
from the shade",en
6123,reka polna dežja,stvari ki si jih,skrival pred mano,,,,,,,"reka polna dežja
stvari ki si jih
skrival pred mano",sl
6124,summer night love,whatever the neighbors,are cooking,,,,,,,"summer night love
whatever the neighbors
are cooking",en
6125,summer solstice,the sun reaches the cobwebs,in the corner,,,,,,,"summer solstice
the sun reaches the cobwebs
in the corner",en
6126,200 miles . . .,this plum blossom,on my windshield,,,,,,,"200 miles . . .
this plum blossom
on my windshield",en
6127,wild poppies,gusts of music from,the midsummer fair,,,,,,,"wild poppies
gusts of music from
the midsummer fair",en
6128,cold night--,not one silver track,on the footpath,,,,,,,"cold night--
not one silver track
on the footpath",en
6129,high sun -,his daughter,on his shoulders,,,,,,,"high sun -
his daughter
on his shoulders",en
6130,Tombe du mendiant,Sa part des visiteurs,leurs ombres,,,,,,,"Tombe du mendiant
Sa part des visiteurs
leurs ombres",fr
6131,Pleins d'épingles,journaux de guerre,dans le magasin de mon voisin,,,,,,,"Pleins d'épingles
journaux de guerre
dans le magasin de mon voisin",fr
6132,"Vent doux,",pisser à l'ombre,d'une étoile filante,,,,,,,"Vent doux,
pisser à l'ombre
d'une étoile filante",fr
6133,"Café fumant,",au loin des salers ruminent,la brume de l'aube,,,,,,,"Café fumant,
au loin des salers ruminent
la brume de l'aube",fr
6134,faither's day -,yin hunkers on the plainstanes,weet fouin's Tassie,,,,,,,"faither's day -
yin hunkers on the plainstanes
weet fouin's Tassie",en
6135,eenin dander -,soond o,runchin snails,,,,,,,"eenin dander -
soond o
runchin snails",nl
6136,devant mon balai,les pétales de cerisier,fuient en tous sens,,,,,,,"devant mon balai
les pétales de cerisier
fuient en tous sens",fr
6137,café amer –,des bris de vitrines,sous mes semelles,,,,,,,"café amer –
des bris de vitrines
sous mes semelles",fr
6138,info du matin,tous ces morts avec mon café,je rajoute un sucre,,,,,,,"info du matin
tous ces morts avec mon café
je rajoute un sucre",fr
6139,bouche gourmande...,qui se souvient que la cerise,a été une fleur?,,,,,,,"bouche gourmande...
qui se souvient que la cerise
a été une fleur?",fr
6140,chaleur écrasante —,dans des rumeurs de taffetas,les caresses éventées,,,,,,,"chaleur écrasante —
dans des rumeurs de taffetas
les caresses éventées",fr
6141,saison des pluies,— à défaut j'éclaire,la bibliothèque,,,,,,,"saison des pluies
— à défaut j'éclaire
la bibliothèque",fr
6142,sable de plage,les vestiges d’un château,au fond de mes poches,,,,,,,"sable de plage
les vestiges d’un château
au fond de mes poches",fr
6143,tank calciné,un peu plus loin une noce,bat son plein,,,,,,,"tank calciné
un peu plus loin une noce
bat son plein",fr
6144,premières chaleurs,le môme dans la poussette,transpire à grosses gouttes,,,,,,,"premières chaleurs
le môme dans la poussette
transpire à grosses gouttes",fr
6145,soir d'été -,les derniers jours,du champ de blé,,,,,,,"soir d'été -
les derniers jours
du champ de blé",fr
6146,chemin d'été -,même le papillon,a une ombre,,,,,,,"chemin d'été -
même le papillon
a une ombre",fr
6147,à chaque éclair,dans le pré d'en face,les charolaises s'allument,,,,,,,"à chaque éclair
dans le pré d'en face
les charolaises s'allument",fr
6148,chaleur moite -,au loin l'épaisse musique,d'une fête foraine,,,,,,,"chaleur moite -
au loin l'épaisse musique
d'une fête foraine",fr
6149,dinner at sunset,rainbow bubbles,on the koi pond,,,,,,,"dinner at sunset
rainbow bubbles
on the koi pond",en
6150,neighbors shouting,from the wild grapes,multiple bird calls,,,,,,,"neighbors shouting
from the wild grapes
multiple bird calls",en
6151,rainbow flags ...,the haunting sounds,of amazing grace,,,,,,,"rainbow flags ...
the haunting sounds
of amazing grace",en
6152,encore la pluie,le rire des enfants,en plein coloriage,,,,,,,"encore la pluie
le rire des enfants
en plein coloriage",fr
6153,soleil terne,même le pot de groseille,ne renvoie plus la lumière,,,,,,,"soleil terne
même le pot de groseille
ne renvoie plus la lumière",fr
6154,Portes fermés,devant le mendiant-,Même la porte du cimetière,,,,,,,"Portes fermés
devant le mendiant-
Même la porte du cimetière",fr
6155,Croissant-,traces des dents de l'enfant,sur le chocolat,,,,,,,"Croissant-
traces des dents de l'enfant
sur le chocolat",fr
6156,école abandonnée,les noms des amis et leurs cœurs,sont encore sur les bancs,,,,,,,"école abandonnée
les noms des amis et leurs cœurs
sont encore sur les bancs",fr
6157,Bague de mariage,Convient également pour dessiner,Une lune dans la neige,,,,,,,"Bague de mariage
Convient également pour dessiner
Une lune dans la neige",fr
6158,Tout ce temps,avec le même cri,~ retour des oies,,,,,,,"Tout ce temps
avec le même cri
~ retour des oies",fr
6159,nuit à la fenêtre,constellations d'été,odeur de la citronnelle,,,,,,,"nuit à la fenêtre
constellations d'été
odeur de la citronnelle",fr
6160,travaux d’été –,mes empreintes de pas,dans le goudron chaud,,,,,,,"travaux d’été –
mes empreintes de pas
dans le goudron chaud",fr
6161,petit matin -,parmi les herbes fauchées,aussi des fleurs,,,,,,,"petit matin -
parmi les herbes fauchées
aussi des fleurs",fr
6162,matin de pluie -,le café rallongé,plusieurs fois,,,,,,,"matin de pluie -
le café rallongé
plusieurs fois",fr
6163,14 juillet -,L'interminable défilé,Des fourmis,,,,,,,"14 juillet -
L'interminable défilé
Des fourmis",fr
6164,ombres du soir,lentement sur son ventre,ma main...,,,,,,,"ombres du soir
lentement sur son ventre
ma main...",fr
6165,another tragedy . . ,evening curls quietly,in the pond,,,,,,,"another tragedy . . 
evening curls quietly
in the pond",en
6166,summer firelight,the memory of a dog,nuzzles my hand,,,,,,,"summer firelight
the memory of a dog
nuzzles my hand",en
6167,for a moment,the heat is so cold,deep south,,,,,,,"for a moment
the heat is so cold
deep south",en
6168,in french perks,thrissels growe,...seeds frae hame,,,,,,,"in french perks
thrissels growe
...seeds frae hame",en
6169,nebbin a stieve souch,they aye heeld forrit,...weir memorial,,,,,,,"nebbin a stieve souch
they aye heeld forrit
...weir memorial",en
6170,days o weet -,snail-pooer,on the muive,,,,,,,"days o weet -
snail-pooer
on the muive",en
6171,auld tarry-breeks,in's shooglin cherr,myndin the ocean,,,,,,,"auld tarry-breeks
in's shooglin cherr
myndin the ocean",en
6172,treen merkit wi an X -,neist year,nae freenly shed,,,,,,,"treen merkit wi an X -
neist year
nae freenly shed",en
6173,entre les branches vides,du cerisier mort,le quartier de lune s'est niché,,,,,,,"entre les branches vides
du cerisier mort
le quartier de lune s'est niché",fr
6174,the coastal road...,spinnakers fill,with sunset,,,,,,,"the coastal road...
spinnakers fill
with sunset",en
6175,he kissed me,on the fourth of july,fireworks!!,,,,,,,"he kissed me
on the fourth of july
fireworks!!",en
6176,thunderstorm --,a late-night,visitor,,,,,,,"thunderstorm --
a late-night
visitor",en
6177,overcast night --,the mouse trap,snaps,,,,,,,"overcast night --
the mouse trap
snaps",en
6178,summer rain --,the garden gnome's,weary smile,,,,,,,"summer rain --
the garden gnome's
weary smile",en
6179,threatening sky --,the hum,of a power line,,,,,,,"threatening sky --
the hum
of a power line",en
6180,even the memory,of winter is melted . . .,blazing summer day,,,,,,,"even the memory
of winter is melted . . .
blazing summer day",en
6181,empty lot . . .,and still those tulips,where once was a garden,,,,,,,"empty lot . . .
and still those tulips
where once was a garden",en
6182,dusty seashell,the words he whispered,in my ear,,,,,,,"dusty seashell
the words he whispered
in my ear",en
6183,ripened tomatoes—,the busy shadow,of my straw hat,,,,,,,"ripened tomatoes—
the busy shadow
of my straw hat",en
6184,no sound,from a crow's gaping beak...,sultry afternoon,,,,,,,"no sound
from a crow's gaping beak...
sultry afternoon",en
6185,beach vacation,every night between the sheets,a little more sand,,,,,,,"beach vacation
every night between the sheets
a little more sand",en
6186,que de tombes,avant que la lune ne sombre,Je veux te sentir,,,,,,,"que de tombes
avant que la lune ne sombre
Je veux te sentir",fr
6187,La fourmi,parle à une autre,sur le câble du téléphone,,,,,,,"La fourmi
parle à une autre
sur le câble du téléphone",fr
6188,maison des grand-parents,sur le vieux métier à tisser,des fils de lumière,,,,,,,"maison des grand-parents
sur le vieux métier à tisser
des fils de lumière",fr
6189,journée torride,à même la peau légère,la robe en lin,,,,,,,"journée torride
à même la peau légère
la robe en lin",fr
6190,soirée bach et brahms –,quelque part dans les vignes,un chien hurle à la mort,,,,,,,"soirée bach et brahms –
quelque part dans les vignes
un chien hurle à la mort",fr
6191,plein été –,la lumière aveuglante,du bloc opératoire,,,,,,,"plein été –
la lumière aveuglante
du bloc opératoire",fr
6192,ciel d'orage -,un héron remonte le fleuve,en silence,,,,,,,"ciel d'orage -
un héron remonte le fleuve
en silence",fr
6193,heure de pointe -,dans les odeurs de déo,je m' invente un printemps,,,,,,,"heure de pointe -
dans les odeurs de déo
je m' invente un printemps",fr
6194,between downpours,orchestral swell through,a half open window,,,,,,,"between downpours
orchestral swell through
a half open window",en
6195,through a wine glass,the swaying of,feathery grass heads,,,,,,,"through a wine glass
the swaying of
feathery grass heads",en
6196,eighty-third birthday,I read the directions,one more time,,,,,,,"eighty-third birthday
I read the directions
one more time",en
6197,"The bassline slinks deeper with the dusk,",sinks deep into the vein.,,,,,,,,"The bassline slinks deeper with the dusk,
sinks deep into the vein.",en
6198,a fish breaks,the river's calm,heat haze,,,,,,,"a fish breaks
the river's calm
heat haze",en
6199,lost in thought,the sound of wavelets ,at the edges,,,,,,,"lost in thought
the sound of wavelets 
at the edges",en
6200,pond of dust,a butterfly's quest,for a flower,,,,,,,"pond of dust
a butterfly's quest
for a flower",en
6201,troubled times,the grace of sunset,on a summer day,,,,,,,"troubled times
the grace of sunset
on a summer day",en
6202,a whiff,of distant Coppertone,— sea breeze,,,,,,,"a whiff
of distant Coppertone
— sea breeze",en
6203,writing I love you,in the pollen dust,on her windshield,,,,,,,"writing I love you
in the pollen dust
on her windshield",en
6204,Touillant le café,"avec ma vieille cuillère,",un nouveau jour,,,,,,,"Touillant le café
avec ma vieille cuillère,
un nouveau jour",fr
6205,"Pluie de l'aube,",les herbes sauvages,couchées,,,,,,,"Pluie de l'aube,
les herbes sauvages
couchées",fr
6206,hay moon --,the farmer's daughter,in heels,,,,,,,"hay moon --
the farmer's daughter
in heels",en
6207,the enlightened man,wearing lipstick,on his collar,,,,,,,"the enlightened man
wearing lipstick
on his collar",en
6208,starless night --,the deep croak,of a bullfrog,,,,,,,"starless night --
the deep croak
of a bullfrog",en
6209,the scent,of sun and rain—,first summer peach,,,,,,,"the scent
of sun and rain—
first summer peach",en
6210,thunderstorm,so longing,for you,,,,,,,"thunderstorm
so longing
for you",en
6211,oolong,pekoe,tasting each sound,,,,,,,"oolong
pekoe
tasting each sound",en
6212,homesick,a hot wind rattles,the cottonwood leaves,,,,,,,"homesick
a hot wind rattles
the cottonwood leaves",en
6213,lilac shadows,scale the garden wall;,slip off into the woods,,,,,,,"lilac shadows
scale the garden wall;
slip off into the woods",en
6214,La ville assiégée,la lune,entre et sort,,,,,,,"La ville assiégée
la lune
entre et sort",fr
6215,the sound of heat,everything is,cicadas,,,,,,,"the sound of heat
everything is
cicadas",en
6216,as still as midnight,hanging in the moss,the dying moth,,,,,,,"as still as midnight
hanging in the moss
the dying moth",en
6217,passing storm,bits of sky settle,in the treetops,,,,,,,"passing storm
bits of sky settle
in the treetops",en
6218,entre l'oreille et l'épaule,du monsieur devant moi,la petite claveciniste,,,,,,,"entre l'oreille et l'épaule
du monsieur devant moi
la petite claveciniste",fr
6219,Avant le silence,"de la nuit,",les fleurs de fuchsia,,,,,,,"Avant le silence
de la nuit,
les fleurs de fuchsia",fr
6220,"Fraises du jardin,",le ciel bleu sur les trois ans,de ma petite fille,,,,,,,"Fraises du jardin,
le ciel bleu sur les trois ans
de ma petite fille",fr
6221,"Le chien errant,",ses yeux,couleur de pluie,,,,,,,"Le chien errant,
ses yeux
couleur de pluie",fr
6222,Walden Pond --,all parking lots,full,,,,,,,"Walden Pond --
all parking lots
full",sv
6223,crowded train --,the bright red glare,of her lipstick,,,,,,,"crowded train --
the bright red glare
of her lipstick",en
6224,anniversary—,a few weeds,in the rose bed,,,,,,,"anniversary—
a few weeds
in the rose bed",en
6225,summer winds— ,pieces of moon,through the willow,,,,,,,"summer winds— 
pieces of moon
through the willow",en
6226,long afternoon,the occasional tapping,of a screen door,,,,,,,"long afternoon
the occasional tapping
of a screen door",en
6227,a butterfly,tattooed on her buttock,summer heat,,,,,,,"a butterfly
tattooed on her buttock
summer heat",en
6228,walking the old path,in secondhand shoes—,new moon,,,,,,,"walking the old path
in secondhand shoes—
new moon",en
6229,rain on the bayou—,just enough moon,to silver the ripples,,,,,,,"rain on the bayou—
just enough moon
to silver the ripples",en
6230,first notes,of a busker's clarinet...,summer river,,,,,,,"first notes
of a busker's clarinet...
summer river",en
6231,autumn chill—,replacing the battery,in my mouse,,,,,,,"autumn chill—
replacing the battery
in my mouse",en
6232,after the rainstorm,last drops from the roof,heighten the silence,,,,,,,"after the rainstorm
last drops from the roof
heighten the silence",en
6233,the time it takes to learn,how to be silent,blue mountains,,,,,,,"the time it takes to learn
how to be silent
blue mountains",en
6234,between Cassiopeia,and me -,fireworks!,,,,,,,"between Cassiopeia
and me -
fireworks!",en
6235,freight train night--,the restless,dreams,,,,,,,"freight train night--
the restless
dreams",en
6236,lone guest gone –,the ticking ,of the parlor clock,,,,,,,"lone guest gone –
the ticking 
of the parlor clock",en
6237,"in the darkening yard,",the sun strikes ,the cockscomb’s red,,,,,,,"in the darkening yard,
the sun strikes 
the cockscomb’s red",en
6238,between the treetops,and bright stars –,puffs of white clouds drift,,,,,,,"between the treetops
and bright stars –
puffs of white clouds drift",en
6239,late night,with Ryokan –,I warm the rice wine,,,,,,,"late night
with Ryokan –
I warm the rice wine",en
6240,held together,by its label –,a crushed whiskey bottle,,,,,,,"held together
by its label –
a crushed whiskey bottle",en
6241,"whatever the weather,",his soft smile – ,the buddha in the garden,,,,,,,"whatever the weather,
his soft smile – 
the buddha in the garden",en
6242,worn in places,to the bare wood –,the golden buddha,,,,,,,"worn in places
to the bare wood –
the golden buddha",en
6243,travelers still catch,the Greyhound there –,the boarded up diner,,,,,,,"travelers still catch
the Greyhound there –
the boarded up diner",en
6244,rain at graveside –,mourning clothes,soaked a deeper hue,,,,,,,"rain at graveside –
mourning clothes
soaked a deeper hue",en
6245,after the burial –,a day moon,rising,,,,,,,"after the burial –
a day moon
rising",en
6246,he looks perplexed -,"the scarecrow,",chest deep in the river's flood,,,,,,,"he looks perplexed -
the scarecrow,
chest deep in the river's flood",en
6247,zazen -,the hum,of the Fridgidaire,,,,,,,"zazen -
the hum
of the Fridgidaire",en
6248,bridge night -,trying to remember,our last passionate kiss,,,,,,,"bridge night -
trying to remember
our last passionate kiss",en
6249,flag ceremony -,the old vet's uniform,hangs loosely,,,,,,,"flag ceremony -
the old vet's uniform
hangs loosely",en
6250,je n’ai pas sommeil ,au loin tourne le phare ,de la Tour Eiffel,,,,,,,"je n’ai pas sommeil 
au loin tourne le phare 
de la Tour Eiffel",fr
6251,au réveil,s’enlacer et l’entendre ,l’averse d’été,,,,,,,"au réveil
s’enlacer et l’entendre 
l’averse d’été",fr
6252,another flood,a different voice,in the bayou,,,,,,,"another flood
a different voice
in the bayou",en
6253,on his third try,the fish hawk wins,summer games,,,,,,,"on his third try
the fish hawk wins
summer games",en
6254,only a fish,nibbling a lily pad,morning fog,,,,,,,"only a fish
nibbling a lily pad
morning fog",en
6255,mushroom by mushroom closer to autumn,,,,,,,,,mushroom by mushroom closer to autumn,en
6256,dry thunder,on the tip of my tongue,the scent of rain,,,,,,,"dry thunder
on the tip of my tongue
the scent of rain",en
6257,ripe wheat fields,"listening to the swoosh, swoosh",as rain clouds approach,,,,,,,"ripe wheat fields
listening to the swoosh, swoosh
as rain clouds approach",en
6258,abbaye de Cluny -,avec délectation,sa glace framboise,,,,,,,"abbaye de Cluny -
avec délectation
sa glace framboise",fr
6259,toute la nuit,dans les yeux d'un loir,mort au petit matin,,,,,,,"toute la nuit
dans les yeux d'un loir
mort au petit matin",fr
6260,confitures de sureau -,dans la pénombre de la cuisine,l'été s'épaissit,,,,,,,"confitures de sureau -
dans la pénombre de la cuisine
l'été s'épaissit",fr
6261,ciel sans nuage,le blanc éblouissant,des charolaises,,,,,,,"ciel sans nuage
le blanc éblouissant
des charolaises",fr
6262,on dérange pas,celles qui travaillent dit elle,évitant leurs toiles,,,,,,,"on dérange pas
celles qui travaillent dit elle
évitant leurs toiles",fr
6263,nuit des étoiles,une lampe frontale file,dans la nuit,,,,,,,"nuit des étoiles
une lampe frontale file
dans la nuit",fr
6264,Retour de colo,il parle des rouges-gorges,d'une autre voix,,,,,,,"Retour de colo
il parle des rouges-gorges
d'une autre voix",fr
6265,banlieue rouge -,le champ lexical,en jachère,,,,,,,"banlieue rouge -
le champ lexical
en jachère",fr
6266,nuit des étoiles -,dans ses taches de rousseur,la grande ourse,,,,,,,"nuit des étoiles -
dans ses taches de rousseur
la grande ourse",fr
6267,retour au travail -,le triste son du ressac,de la photocopieuse,,,,,,,"retour au travail -
le triste son du ressac
de la photocopieuse",fr
6268,nos adieux,sur le pas de la porte,lune blanche,,,,,,,"nos adieux
sur le pas de la porte
lune blanche",fr
6269,Les miches chaudes,"de la boulangère à 7h00,",quelle chaleur !,,,,,,,"Les miches chaudes
de la boulangère à 7h00,
quelle chaleur !",fr
6270,Avant le silence,"de la nuit,",les fleurs de fuchsia,,,,,,,"Avant le silence
de la nuit,
les fleurs de fuchsia",fr
6271,au gré du vent,sur son matelas pneumatique –,monde flottant,,,,,,,"au gré du vent
sur son matelas pneumatique –
monde flottant",fr
6272,russian earl grey –,premières feuilles jaunies,sur la table rouillée,,,,,,,"russian earl grey –
premières feuilles jaunies
sur la table rouillée",fr
6273,changement climatique____________,quelques soutiens gorges léopards______ font leur apparition,,,,,,,,"changement climatique____________
quelques soutiens gorges léopards______ font leur apparition",fr
6274,l'arbre à papillons,borde le cimetière -,quelle chaleur,,,,,,,"l'arbre à papillons
borde le cimetière -
quelle chaleur",fr
6275,Millau -,un vol de vautours,au niveau des voitures,,,,,,,"Millau -
un vol de vautours
au niveau des voitures",fr
6276,sur le brûleur,les moules s'ouvrent,sans un cri,,,,,,,"sur le brûleur
les moules s'ouvrent
sans un cri",fr
6277,festival -,a fou muin,claucht amang the rackets,,,,,,,"festival -
a fou muin
claucht amang the rackets",en
6278,abuin the tennis coort,a fun muin,...hingin,,,,,,,"abuin the tennis coort
a fun muin
...hingin",en
6279,sunrise,on the bayou,water lilies,rise and fall in the wake,of a passing alligator,,,,,"sunrise
on the bayou
water lilies
rise and fall in the wake
of a passing alligator",en
6280,rain on the bayou—,just enough moon to silver,the ripples,,,,,,,"rain on the bayou—
just enough moon to silver
the ripples",en
6281,les motos,roulent quatre par quatre -,derniers jours d'août,,,,,,,"les motos
roulent quatre par quatre -
derniers jours d'août",fr
6282,summer twilight --,the instructions,for my ashes,,,,,,,"summer twilight --
the instructions
for my ashes",en
6283,blood-tinted soil,where the sugar plantation,used to be,,,,,,,"blood-tinted soil
where the sugar plantation
used to be",en
6284,faint pencil marks,on the wall --,her dead child's room,,,,,,,"faint pencil marks
on the wall --
her dead child's room",en
6285,the smell,of summer heat ...,roadkill ,,,,,,,"the smell
of summer heat ...
roadkill ",en
6286,foreclosure sign,in its shadow,a dollhouse,,,,,,,"foreclosure sign
in its shadow
a dollhouse",en
6287,one by one,frogs make holes in the pond ...,starry night,,,,,,,"one by one
frogs make holes in the pond ...
starry night",en
