0,1,2,source,0_syllables,1_syllables,2_syllables
thunderclouds,an aproned butcher,takes his lunchtime stroll,sballas,3,5,5
spring mountain wind,a traveller rests,on his hat,sballas,"4,5",5,3
parents? quarrel . . .,through the glass-bottomed boat,another world,sballas,4,4,4
poppy garden . . .,in and out of the flowers,the child's red cap,sballas,4,7,4
storm brewing,our cat sphinxed out,on the porch rail,sballas,3,"4,5",4
first summer rain,the flower vendor,lingers on the porch,sballas,4,5,5
spring break,the migrant child chases,willow fluff,sballas,"2,3",6,3
mud wasp and i,alive together,outdoor bath,sballas,4,5,3
swallow bellies,grazing the water,we drink,sballas,4,5,2
north carolina,the lush local dialect,of mockingbird song,sballas,5,7,5
waterfall,a sad man's face,in the bark of a laurel,sballas,3,4,7
pale green waves,jostle ashore in twilight . . .,the throb of bullfrogs,sballas,3,7,5
fern,uncurling,the faintest breeze,sballas,1,3,4
dogwoods near the stream,a blossom,in our jelly jar,sballas,5,3,"5,6"
the dark folds,of a greening mountain,my sister's locked diary,sballas,3,6,"6,7"
mountain pass,each valley a different shade,of spring,sballas,3,"8,7","2,3"
my key,turns in the lock,lilac scent,sballas,2,4,3
spring morning,the cable car bellringer's,rhythmic burst,sballas,"3,4",7,3
blue violets,the girl with down's syndrome,makes up a poem,sballas,"3,4",6,5
new litter of kittens,the missing rung,on the hayloft ladder,sballas,6,4,6
april drizzle,an ump checks the lineups,the sky,sballas,4,6,2
lace curtains,the spin of sunlight,from a bicycle,sballas,3,5,5
magnolia buds,my one-armed neighbor,plants a tree,sballas,4,4,3
first date,dogwood petals,before the leaves,sballas,2,4,4
amish country,their black and white clotheslines,in spring,sballas,4,6,"2,3"
cherry blossoms,the rookie pitcher puts on,his game face,sballas,4,7,3
spring breeze,i catch the tune,she leaves behind,sballas,"2,3",4,4
the hiss of air,from a rubber raft,summer twilight,sballas,4,5,4
"she hides,",i seek . . .,fireflies,sballas,2,2,3
still a few leaves,dog hair,painted into the wall,sballas,4,2,6
first snowflakes,a cat whisker,in my hand,sballas,3,4,3
snowman,one less carrot,in the pot,sballas,2,4,3
cold morning,the old horse gets up,and goes to work,sballas,3,5,4
winter light,"flour, sugar, and the canister",that held dog biscuits,sballas,3,"8,9",5
deep winter,not knowing for certain,where the garden is,sballas,3,6,5
bare branch ridged with snow,a chickadee,powders my face,sballas,5,4,4
falling leaves,we both speak,of living wills,sballas,3,3,4
watching the waves . . .,a stray dog settles,beside me,sballas,4,5,3
winter stars . . .,i learn to paint,empty spaces,sballas,3,4,4
cold morning,the soap bar,razor thin,sballas,3,3,3
snow day . . .,finding my first grade class,in a drawer,sballas,2,6,3
new year's eve,sending prayer slips,with the ebb tide,sballas,3,"4,5",4
winter dusk,a grandchild draws,my weary smile,sballas,3,4,4
walking the dogs,over the snowy fields,orion,sballas,4,6,3
first snow,against my will,the beauty,sballas,2,4,3
leaf-fall,for a moment,the cat all kitten,sballas,1,4,5
at the funeral,his secret life,white chrysanthemum,sballas,5,4,5
memorial tablet,copper letters push up,through the snow,sballas,6,6,3
his christmas package . . .,the icy steps,of the post office,sballas,5,4,5
frost,everywhere i look,the milky way,sballas,1,5,4
town tree,amongst the christmas lights,a crow's nest,sballas,2,6,3
crescent moon,the smooth curves,of her headstone,sballas,3,3,4
shortest day,a sparrow chirps,in the dark,sballas,3,4,3
nutcracker suite,a star falls from,the ballerina's hair.,sballas,4,4,6
cold night,the dashboard lights,of another car,sballas,2,4,5
as i wait for you,the light of venus,through falling leaves,sballas,5,5,4
college photos,out of the shoe box,a dry apple core,sballas,4,5,5
fall leaves,he tells me,i?ve changed,sballas,2,3,2
autumn sun,i follow the shadow,with the limp,sballas,3,6,3
approaching winter,the fragrance of herbs,under sweet straw,sballas,5,5,4
autumn mist,the honey locust,holding light,sballas,3,5,3
sweet grapes,the conversation passes,between friends,sballas,2,7,3
shortening flames,from the blacksmith's coals,autumn sun,sballas,"3,4",5,3
autumn's scent,in the pile of leaves . . .,i take the dare,sballas,3,5,4
bumper crop . . .,the pecan tree's shadow,stippled in shells,sballas,3,6,4
late night,a waitress repeats,the list of pies,sballas,2,5,4
heat lightning,the skull of a deer,in the tall grass,sballas,3,5,4
a cloud of dust,behind the tractor . . .,harvest moon rising,sballas,4,5,5
evening shadows,white egrets fold,into their tree,sballas,4,4,4
barn for sale,between the rafters,a wedge of moon,sballas,3,5,4
historic cabin,we nibble windfall apples,on the rotten porch,sballas,5,7,5
all souls? . . .,a wasp returns,to the lintel,sballas,2,4,4
autumn dusk,the hill gradually slopes,toward city din,sballas,3,"6,7","4,5"
scent of windfalls,the whisper,of solitaire cards,sballas,4,3,5
old armchair . . .,its weight,this autumn night,sballas,3,2,4
fall night heavens . . .,the sound of our bath,draining,sballas,4,"5,6",2
summer's end,loose-leaf notebook snaps,echo in the hall,sballas,3,4,5
crisp blue sky,the fir tip,rests a crow,sballas,3,3,3
spawning salmon,a bubble rises between,the river stones,sballas,4,7,4
nameless stream,i vaguely remember,my father's face,sballas,3,6,4
autumn wind,the sidelong glance,from a goose,sballas,3,4,3
early autumn park,the perfect circles,of a little girl,sballas,5,5,5
autumn walk,needles at the bottom,of the stream,sballas,3,6,3
autumn breeze,a pine cone waddles,toward the shore,sballas,3,5,"3,4"
windrows . . .,the undulating whistle,of pigeon wings,sballas,2,7,4
indian summer,a squirrel tips over,the bag of rock salt,sballas,5,6,5
heat wave,a spider pokes a leg,from a curled leaf,sballas,2,6,4
summer's end,only dead grass,shows the circus was here,sballas,3,4,6
the horse fly,attracted to my ear,. . . strike three,sballas,3,6,2
withering garden,ladybugs neatly wrapped,in spider silk,sballas,5,6,4
moonlight,on a white cactus blossom,end of summer,sballas,2,7,4
heat,the smell of ozone,before a storm,sballas,1,5,4
litter,in the wildflowers,prisoners,sballas,2,4,"2,3"
day winding down,the pink flick,of a lizard's tongue,sballas,4,3,5
summer drought,deciding where,to cross the creek,sballas,3,4,4
summer moon,her eyelashes touch,the telescope lens,sballas,3,5,5
garden path,the same weeds,in their country,sballas,3,3,4
rain on the horizon,the inside of the nest,worn smooth,sballas,6,6,2
low tide,rain wets,the driftwood,sballas,2,2,3
peonies,how earnestly we discuss,last night's soap opera,sballas,3,7,5
cold tea,in the tea cup,no more to say,sballas,2,4,4
wisp of a cloud,in a vast blue sky,my thoughts exactly,sballas,4,5,5
to the beat of rain,the builder darkens,with his wood,sballas,5,5,3
jellyfish dance,breathing in,with a perfect stranger,sballas,4,3,6
their love,now out in the open,night blooming jasmine,sballas,2,6,5
summer breeze,taking down the wind chimes,you left,sballas,3,6,2
rainy morning,the old beggar not there,outside the tea shop,sballas,4,6,5
playground,searching the hubbub,for one voice,sballas,2,5,3
summer night,the strawberry stain,on a popsicle stick,sballas,3,5,6
origami,we fold the map into,a vacation,sballas,4,6,4
cool morning,the smell of garlic bread,reaches the street boy,sballas,3,6,5
tongue out,the boy guides a new airplane,round and round,sballas,2,7,3
bright morning,the smell of geraniums,on my fingers,sballas,3,7,4
looking up,rules of punctuation,the green hills,sballas,3,6,3
love-in-the-mist,a persian carpet,worn to warp threads,sballas,1,5,4
a rainbow,horizon to horizon,the curved wings of gulls,sballas,3,7,5
tomorrow i leave,cones high,in the old pine,sballas,5,2,4
spring morning,a chained dog,settles in the dust,sballas,"3,4",3,5
country road,no way home,without a detour,sballas,3,3,5
summer rain,the back yard hole filled,with tricycles,sballas,3,5,4
creek mouth,bathing the dog,in sunset,sballas,2,4,3
the ride,past the roadside fruit stand,?'spring solitude,sballas,2,6,3
late spring,lambs play,in the slaughteryard,sballas,"2,3",2,5
commute,carpooling with,the same fly,sballas,2,4,3
first rain,the smell as dust,changes to mud,sballas,2,4,4
country town,a railway station,without tracks,sballas,3,5,3
red-throated finch song,a hint of it in beethoven's,rhythm and angles,sballas,3,8,5
no old habits,the newborn's,cry,sballas,4,3,1
evening rain,the screen door,covered with moths,sballas,3,3,4
bay shallows,a starfish moves its fingers,over mine,sballas,3,7,3
for the second time,the mourning dovefeeding,without her mate,sballas,5,6,4
spring dawn,one at a time,the newborn's eyes open,sballas,"2,3",4,6
white handkerchief,my mother shoos,a cabbage moth,sballas,4,4,4
opening the window,after lovemaking,the earth's fragrance,sballas,6,5,4
beached kelp,we examine each other's,life lines,sballas,2,7,2
winter evening,a light is burning,in the back of the house,sballas,4,5,6
winter doldrums,my landlady enumerates,the perennials,sballas,4,8,5
winter silence . . .,another armload,of junk mail,sballas,4,5,3
spring rain,the crumpled obituary,by my bed,sballas,"2,3",8,3
mausoleum,just passing,through,sballas,4,3,1
from the teahouse,the smell of must,fallen cherry leaves,sballas,4,4,5
fallen leaves,a line of snails,in the bark fold,sballas,3,4,4
swollen stream,my friend talks about,the cancer,sballas,3,5,3
rain and wind,in the circle of mourners,one person smiling,sballas,3,7,5
monday morning,ant on the coffee cup,going in circles,sballas,4,6,5
summer morning,squeak,of the bicycle seat,sballas,4,1,6
chill wind,the heart of an oak,leaves the chimney,sballas,2,5,4
appointment calendar,a coffee ring joins,one day to the next,sballas,6,5,5
another leaf drifts,from the landmark oak,wren song,sballas,5,5,2
turning tide,the river goes,from gray to blue,sballas,3,4,4
daybreak,birdsong glides,from oak to elm,sballas,2,3,4
my flight delayed,he polishes the barware,with a flourish,sballas,4,7,4
silence,on telegraph hill,a shooting star,sballas,2,5,4
sundown . . .,the mason jars,empty again,sballas,2,4,4
quasar,only a great star,that dies,sballas,2,5,2
november sunset,now you can chat with,all the stars,sballas,5,5,3
hotel window,a thistledown blows in,and out,sballas,4,6,2
late autumn,and all the songbirds have gone,the lilt in his voice,sballas,3,7,5
where snowflake,becomes lake'safe beyond,all accident,sballas,3,7,4
morning bells,through a crack in the shutter,one bright star,sballas,3,7,3
sunset today,"more wintery, more solemn",than usual,sballas,4,7,4
catching the twinkle,in frog eyes among the reeds,old pond jumped in,sballas,5,7,4
fog . . .,just the tree,at the bus stop,sballas,1,3,4
hospice garden,he points out,the last calla lily,sballas,4,3,6
fog . . .,just the tree and i,at the bus stop,sballas,1,5,4
windows filled with light,"at the home for the blind,",christmas night,sballas,5,6,3
nursing a friend with aids,i close the window,against rain,sballas,6,5,3
last flutter,of the butterfly,in the mime's hand,sballas,3,5,4
jumping rope,the little girl and her shadow,touch touch touch touch touch,sballas,3,8,5
end of a long day,the bartender's feet,take the floorboards home,sballas,5,5,5
summer's end,the weight of my body,out of the water,sballas,3,6,5
high forest ridge,far from the sea,a stone clam,sballas,4,4,3
art class,i become,a rose of sharon,sballas,2,3,5
playground,every day the apple tree,bends further,sballas,2,"8,7",3
remembrance day,my insignificant wince,at the misdirected poppy pin,sballas,4,7,9
"long, low bridge",the perfect monotony,of the summer sea,sballas,3,7,5
indian summer . . .,a bag of green peppers,turning red,sballas,5,6,3
white jerseys,spread across the hockey field,indian summer,sballas,3,7,5
mushroom gathering,i trust her,with a secret,sballas,5,3,4
setting sun,my mother picks,the last tomato,sballas,3,4,5
bird calls . . .,the grass blade buzzes,on my tongue,sballas,2,5,3
dust rising,down the old dirt road,summer twilight,sballas,3,5,4
heat wave,a knife stuck,deep in the melon,sballas,2,3,5
september sunset,crabs explore the skeleton,of a humpback whale,sballas,5,7,5
lilt in her voice . . .,the moss-agate colors,in a sunlit wave,sballas,4,4,5
stifling heat,a palm frond suggests,there is a breeze,sballas,"3,4",5,4
late summer rose,the feeble twitches,of an orange beetle,sballas,4,5,6
summer reunion,she ties a seaweed bracelet,on her sister's wrist,sballas,5,7,5
minus tide . . .,a child sings,an ancient fishing song,sballas,3,3,6
end of summer,coming home,with the current and the tide,sballas,4,3,"6,7"
her aged veins,the steady pulse,of crickets,sballas,"3,4",4,3
carousel . . .,the grasshopper riding,anywhere,sballas,3,6,3
summer clouds,the river and i,inclined to the sea,sballas,3,5,5
sultry day,one green berry,among the red,sballas,3,4,4
lavender blooms,outside the sanctuary,late summer rain,sballas,4,7,4
children's carousel,the way seasons come around,faster than before,sballas,5,7,5
midsummer day,the wrong way,on a one-way street,sballas,4,3,4
stepping stones,a child finds a way,across the stream,sballas,3,5,4
thunder . . .,the mustang's tail,begins to sway,sballas,2,4,4
thunderstorm,roosters and crows,answer the sky,sballas,3,4,4
deserted porch,crickets continue,our conversation,sballas,4,5,"5,6"
meditation over . . .,the crickets,still chirping,sballas,6,3,3
winding road,under the influence,of a strawberry moon,sballas,3,6,6
tough as we sound,our eyes,on the fireflies,sballas,4,"2,3",5
a bowl,full of pear bruises,lingering heat,sballas,2,5,"3,4"
evening breeze,something close to mozart,in the chimes,sballas,3,6,3
distant stars . . .,poplar fluff drifts,through the dark,sballas,3,4,3
dusky lake,fishermen's voices,sink into darkness,sballas,3,5,5
distant thunder,a shadow flickers,on the locked shed,sballas,4,5,4
heat wave,a spider's thread,across the frying pan,sballas,2,4,6
late supper,the smell of tomato plants,under my fingernails,sballas,3,7,6
fallen sycamore,the chess players move,to another tree,sballas,5,5,5
now and then,when my neighbour is away,blackberries,sballas,3,7,3
adirondack chair . . .,falling madrona blossoms,tick on the deck,sballas,5,7,4
summer sunset,briefly the magpie,rimmed with gold,sballas,4,5,3
fourth of july,not a breath of wind,to stir the flag,sballas,4,5,4
a little escape,from the world and its affairs,the scent of jasmine,sballas,5,7,5
warm day,an inchworm stretches,beyond the leaf edge,sballas,2,5,5
i tap the crystal,four waiters attentive to,the green-leafed wind,sballas,5,7,3
loose hair,the wind brings me,an old song,sballas,2,4,3
blossom rain . . .,but you hope we can,still be friends,sballas,3,5,3
hazy moon,the dog's third day,on the cat's grave,sballas,3,4,4
early mist,feeling in my pocket,for the stone,sballas,3,6,3
sweet peas,the round eye,of a hummingbird,sballas,2,3,5
darkening sky,a woman's song rises,on the desert breeze,sballas,"3,4",6,5
white camellia,the coolness,of new sheets,sballas,4,3,3
first light,the space between,mother and lamb,sballas,2,4,4
spring rain,the soft click of marbles,on the kitchen floor,sballas,"2,3",6,5
morning shadows,a colt's legs stroke,through long grass,sballas,4,4,3
the warmth of may,a pregnant woman,smiles to herself,sballas,4,5,4
spring downpour,my little son teaches me,to fold paper boats,sballas,"3,4",7,5
sheep back,from shearing,spring breeze,sballas,2,3,"2,3"
mating antics,of a hummingbird,wind on the lake,sballas,4,5,4
gala garden tour!,the overwhelming urge,to yank pokeberry,sballas,5,6,5
slow rain,losing myself in,birdbath circles,sballas,2,5,4
sheets of rain,a calf huddles closer,to the cowherd,sballas,3,6,4
redwing blackbird calls,the dog tugs for,another scent,sballas,5,4,4
the sun,at its zenith,goldfinch song,sballas,2,4,3
garden trellis,a green snake loops,into our small talk,sballas,4,4,"5,6"
quiet evening,the wind has touched,a lilac bush,sballas,4,4,4
the dog takes a sniff,snow that didn?t go,with the first warm day,sballas,5,4,5
a minute,more daylight than yesterday,paperwhites,sballas,3,7,3
peering into,"the deep well, two boys",talk about girls,sballas,4,5,4
morning mist,the swallows return,to last year's nest,sballas,3,5,4
misty river,the drone of the drawbridge,still in my ears,sballas,4,6,4
spring longing,following animal tracks,as far as i can,sballas,"3,4",7,5
dragging her jacket,home from school,first spring peepers,sballas,5,3,"4,5"
from the mouths,of old stone frogs,the sound of water,sballas,3,4,5
rain clouds,a river frog's head,pops back down,sballas,2,5,3
lilacs in bloom,a swallowtail crosses,the double yellow line,sballas,4,6,6
a squabble of jays,he shovels my bootprints,off the sidewalk,sballas,5,6,4
smell of matches,we recall the movies,that made us scared,sballas,4,6,"4,5"
frost moon,a dented nail head,catches the light,sballas,2,5,4
roadside shrine,a child blows out,all the prayers,sballas,3,4,"3,4"
morning prayers,a glass cathedral,echoes vowels,sballas,"3,4",5,"3,4"
fireplace glow,first signs of fraying,in the cane-back rocking chair,sballas,4,5,6
dark of the moon,turning the penny heads up,for someone else,sballas,4,7,4
funeral march,watching their grief,from behind,sballas,4,4,3
mountain churchyard . . .,even the rocks,painted white,sballas,4,4,3
first warm day,the derelict's,yellow tie,sballas,3,4,3
redwood grove,their arguing,hushed,sballas,3,4,1
storm clouds,water darkens,around the tea bag,sballas,2,4,5
peak hour traffic,beneath the harbour bridge,a humpback slaps its tail,sballas,"4,5",6,6
her latest worry . . .,a raven lands,on the one bare limb,sballas,5,4,5
new boy in town,throwing snowballs,at his own snowman,sballas,4,4,5
moonless night,i read your letter,by heart,sballas,3,5,2
drifting leaves,the slow arc,of a wrecking ball,sballas,3,3,5
dappled sunlight,waiting to hear,you?re safely home,sballas,4,4,4
icy mortuary steps,linen or muslin,for her shroud?,sballas,7,5,3
third blizzard,the untuned piano's,middle c,sballas,3,6,3
cutting out pictures,from old calendars . . .,autumn drizzle,sballas,5,5,4
christmas at the mall . . .,the turkey steps forward,with a clipboard,sballas,5,6,4
this year's candles,in last year's wax,chanukah eve,sballas,4,4,4
ripe persimmons,glazed with frost?,my soft red shawl,sballas,4,3,4
blue heron,standing at the edge,of the falls,sballas,3,5,3
something to it,about taking your time,ripe peaches,sballas,4,6,3
clouds building . . .,paper snowflakes,in the window,sballas,3,4,4
december evening:,the smell of gingerbread,in mother's hug,sballas,5,6,4
distant wren song . . .,the brown river,slowed to green,sballas,4,4,3
shadows of blue hills,wild turkeys forage,among a clutch of old stones,sballas,5,5,7
country graveyard,a hummingbird,she would?ve loved,sballas,4,4,3
cycling with my son,this is the autumn,i fall behind,sballas,"5,6",5,4
sparrows sift through,the shopping carts,autumn dusk,sballas,4,4,3
sunset,a child's arrangement,of shells,sballas,2,5,2
full moon,playing 'statues?,among the fireflies,sballas,2,4,6
country traffic,the pickup's music,follows its dust,sballas,4,5,4
summer pajamas,my grownup ways to dawdle,past bedtime,sballas,5,7,3
flute song,across baked terraces,the clear air stippled,sballas,2,6,5
heatwave,nuns take turns,at the drinking fountain,sballas,2,3,6
peach seeds,an inch thick,the heat,sballas,2,3,2
summer dusk,flecks of grass,in the dog dish,sballas,3,3,4
summer evening,the man on the bridge,waves back to us,sballas,4,5,"4,5"
machu picchu,face to face,with a llama,sballas,4,3,4
goodwill store,trying on the swimsuit,that i gave away,sballas,3,"5,6",5
the very back,of the cat's mouth,sunday afternoon,sballas,4,4,5
a slow stroll,through the general store,lingering day,sballas,3,"5,6","3,4"
green water,i silently join,the dolphins,sballas,3,5,3
twilight storm,the stones from low tide,still on my desk,sballas,3,5,4
rain-wet sidewalk,each maple key leaves,its own signature,sballas,3,5,5
year of the rooster,the wind chimes swivel,soundlessly,sballas,5,5,3
deep in the woods,the mourning doves,deeper,sballas,4,4,2
mosquitoes,the slap of a beaver tail,at twilight,sballas,3,7,3
just a little peek,the underside,of passion flower,sballas,5,4,5
friday afternoon,a farmer mows hay,in zigzag patterns,sballas,5,5,5
filament slides,off my father's reel,the faint current,sballas,4,5,"3,4"
the humid night,ancient wood carvings,shift their gaze,sballas,4,5,3
her journey north,she tells me of swallows,building mud nests,sballas,4,6,4
march wind,all the ducks at one end,of the pond,sballas,2,6,3
spring dusk,his phone call to tell me,he won?t get well,sballas,"2,3",6,4
the year's first turtle,slowing . . .,still slowing,sballas,5,2,3
turtle's back,covered with pollen,this new pen,sballas,3,5,3
thoughts of her still,a wasp nest dangles,from an old maple,sballas,4,5,5
desert wash . . .,from nowhere a frog,and the first faint stars,sballas,3,5,5
apple blossoms,my breathing,has been shallow,sballas,4,3,4
inspecting rose leaves,for aphids in the way,i now read,sballas,5,6,3
wading egret,i try to walk,a little slower,sballas,4,4,5
the feel of blossoms,on the back of my hand,spring dusk,sballas,5,6,"2,3"
daffodil hill,a peacock's cry as we,dust our clothes,sballas,4,6,"3,4"
mother's day sale,pulling the red wagon,filled with plants,sballas,4,6,3
last day of term,emptying the backpack,of old lunches,sballas,4,6,4
rain-streaked windows,how to paint,the finch's song,sballas,3,3,4
spring night,her moonlit zipper curves,from throat to waist,sballas,"2,3",6,4
morning half-moon,a mockingbird echoes,the rooster,sballas,3,6,3
after the teenagers leave,the dishwasher,and sparrow song,sballas,7,4,4
the lightest rain,a young squirrel springs out,from under its tail,sballas,4,"6,7",5
in seat 12a,she holds a vase of lilacs,on her lap,sballas,3,7,3
sudden hope,as i leave the house,magnolia,sballas,3,5,3
easter egg hunt,the smell of onion grass,on my son's breath,sballas,4,6,4
daffodil shoots,all these years,as an accountant,sballas,4,3,5
aged hands,a caterpillar,on her life line,sballas,"2,3",5,4
dusk in the city,the parking attendant sings,with pavarotti,sballas,5,7,5
torn ceiling blocks,near the finches? nests,flutter and chatter,sballas,4,5,5
new warmth,the ruffled feathers,of the raven's throat,sballas,2,5,5
spring planting,a redbird offers a seed,to his mate,sballas,"3,4",7,3
first warm evening,grandpa mimics,a swan,sballas,4,4,2
dandelion seed,drifting through the lawn party,her perfume,sballas,5,7,3
afternoon sun,the wake of a mallard,flickers on the birch,sballas,4,6,5
spring thaw,under the hemlock,a handful of feathers,sballas,"2,3",5,6
another spring,the nameless shoot,still nameless,sballas,"4,5",4,3
spring rain,speaking of the dead,in a softer voice,sballas,"2,3",5,5
dinner alone . . .,the neighbour's cat comes round,to do the dishes,sballas,4,6,5
amid plum blossoms,my son and i,speak of recovery,sballas,5,4,"5,6"
spring thaw,a new spider,in the mailbox,sballas,"2,3",4,4
arlington,the tulips,wide open,sballas,3,3,3
spring chill,i search for the phone number,of a missing friend,sballas,"2,3",7,5
snow-covered bridge,following in,my son's footsteps,sballas,2,4,4
dead calf,a mother licks,the wind,sballas,2,4,2
two-quilt night,creak of the firebox,as we settle,sballas,2,6,4
slow rain,a night,of seed dreams,sballas,2,2,3
in one year,work life ends?drizzle,with the rainbow,sballas,3,3,4
drifting snow,lambs inside the barn,inside the ewes,sballas,3,5,4
snowed in,doing the jigsaw puzzle,upside down,sballas,2,7,3
midnight breeze,through magnolia branches,a sigh escaping,sballas,3,6,5
winter's end,the dreamcatcher's web,coated with dust,sballas,3,5,4
funeral day,still i hesitate,to open mom's purse,sballas,4,5,5
deep ridges,in my fingernails,autumn rain,sballas,3,5,3
christmas eve,bits of a price sticker,stuck to my finger,sballas,3,6,5
trespassing,a swirl of leaves,around my ankles,sballas,3,4,5
starry night,the queue for skates,moves slowly,sballas,3,4,3
midnight sun,we leave our sauna quarrel,in the icy lake,sballas,3,"8,7",5
cold rain,slicks the caf? tables,her lips at his ear,sballas,2,5,5
a girl wandering,in the year-end crowd,her white cane,sballas,5,4,3
dogwood winter,the waterfall plummets,into a ring of ice,sballas,4,6,6
onto my face,snow that started falling,before the stars appeared,sballas,4,6,6
deep winter,where have i lost,the third hubcap,sballas,3,4,4
acres of gold,fallen leaves hide,our childhood path,sballas,4,4,"4,5"
family reunion,a tablecloth,pops in the wind,sballas,"5,6",4,4
drifting leaves,the postman,stops to talk,sballas,3,3,3
unemployed,withered leaves stop,beside me,sballas,3,4,3
soles tender,against the gravel,starry night,sballas,3,5,3
persimmons,the last kid drops,from the monkey bars,sballas,3,4,5
the wind that once,lifted your hair,here again today,sballas,4,4,5
no letter today . . .,fog takes away the bend,in the road,sballas,5,6,3
evening sun,the light and dark side,of each tree,sballas,3,5,3
moonlit clouds,over the native graveyard,our feet deep into moss,sballas,3,7,"6,7"
three kicks,starting it,autumn morning,sballas,2,3,4
broken clouds,for a moment he remembers,the way home,sballas,3,8,3
family squabble,daddy exhales,on his glasses,sballas,"4,5",4,4
indian summer . . .,the deadhead pruner,returns to her easel,sballas,5,5,6
midday moon,a deaf child caresses,the grand piano,sballas,3,6,5
morning fog lifts . . .,lapwings guard a fledgling,amongst grey stones,sballas,4,6,4
whistling kettle,summer postcards,still unanswered,sballas,4,4,4
a blurred view,of the bulldozer,yellow leaves,sballas,3,5,3
sketching . . .,a birch leaf blows,into my daughter's hair,sballas,2,4,6
handblown glass,cirrus clouds curve,around the moon,sballas,3,4,4
cicada shell,the boy demands to,change his name,sballas,4,5,3
nude beach,a man and a woman,collecting feathers,sballas,2,6,5
turning heads,the blackbird's,one white feather,sballas,3,3,4
autumn sunset,grandma's fingers stained,with beet juice,sballas,4,5,3
a shooting star,the short grass,tickles my neck,sballas,4,3,4
on every step,dead cicadas,a day's list of things to do,sballas,"4,5",4,7
park path,just my thoughts leave,the straight and narrow,sballas,2,4,5
cut grass,i sweep away,summer's end,sballas,2,4,3
full moon . . .,everything in its place,in the kitchen,sballas,2,6,4
honky-tonk bar,a tomcat steps out,into the night,sballas,3,5,4
a sand ripple,just fits my arch,sunrise,sballas,4,4,2
hiking trail,a path of sky through,the bug-eaten leaf,sballas,3,5,3
trail's end,the taste of wild onion,still sharp on my tongue,sballas,2,6,5
the golden smoothness,in a stem of wheat,i take home the field,sballas,5,5,5
quiet hillside,children climb one another,into the trees,sballas,4,7,4
prairie stream,what i know about mountains,in these small stones,sballas,3,7,4
under us,water that roared,in the waterfall,sballas,"3,4",4,5
cicada song,the sleeping bag's,long zipper,sballas,4,4,3
evening light,a loaf of bread,on the cutting board,sballas,3,4,5
trellis of roses,her being-photographed face,opens,sballas,5,4,2
unemployed,the uneven edge,of a quahog shell,sballas,3,5,5
first violet,my grandmother,every time,sballas,"3,4",4,"3,4"
wildflowers,each of them,a different me,sballas,2,3,"4,5"
late spring rain,their prize dahlias,eaten by a cow,sballas,"3,4",5,5
dentist's chair,butterfly wings on the window,open and close,sballas,3,8,4
white lilies,in a stoneware vase,she speaks of her mother,sballas,3,5,6
father's day,teeth missing,from the pocket comb,sballas,3,3,5
trees barely green,the latest graduates,stumble into line,sballas,4,6,5
spring sun,cedar waxwings fill,the leafless plum,sballas,"2,3",5,4
budding trees,a stone bird's eyes,locked to the sky,sballas,3,4,4
all day rain,easter egg dye,in coffee mugs,sballas,3,4,4
april shower . . .,she says her chalk flower has,grown a little,sballas,4,7,4
easter sunday,the hand on my shoulder,once reached up for mine,sballas,4,6,5
first warm day,a wheat penny lands,heads up,sballas,3,5,2
good friday,the raven flies east,with a chunk of bread,sballas,3,5,5
cherry blossoms . . .,i wear a little less,blush,sballas,4,6,1
drizzling sky,a little girl drinks,from her mother's cup,sballas,"3,4",5,5
spring shower,her parasol opens,to take him in,sballas,"3,4",6,4
winter stars,lichen sparkles,on a birch branch,sballas,3,4,4
hint of spring,the weeds picked,for my hair,sballas,"3,4",3,3
midday thaw,the blackbird's feathers,full of rainbows,sballas,3,5,4
furrows curving,over the hill,a line of crow-topped trees,sballas,4,4,5
through my earmuffs,the sound,of a spring bird,sballas,4,2,"4,5"
late winter,the night scented,with noodles,sballas,3,4,3
almost spring,scent of a woman's hair,in the elevator,sballas,"3,4",6,6
birdsong,an icicle drops,into my shadow,sballas,2,5,5
first spring day,a blue heron works at,an unruly feather,sballas,"3,4",6,6
sunrise . . .,tadpoles emerge,from my shadow,sballas,2,4,4
so set in my ways,winter window with a,potted geranium,sballas,5,6,6
soot-dusted snow,the shadow of my rebuke,on the child's face,sballas,2,7,4
behind the locked gate,more snow buries,thin gravestones,sballas,5,4,3
winter garden,the puppy unearths bones,the lost dog buried,sballas,4,6,5
snow falling,the same sound,in all her shells,sballas,3,3,4
january sales,a clown's car steals,my parking space,sballas,5,4,4
troubled by words,i look away,moonlight on crusty snow,sballas,4,4,6
winter stars,the cat's caterwaul,between junked cars,sballas,3,5,4
yesterday's snow,the dog's path,one way,sballas,4,3,2
giggles,in grandma's afghan,winter moon,sballas,2,5,3
morning sleet,someone at the bus stop,humming,sballas,3,6,2
winter morning,the sound of grandma,zipping her boots,sballas,4,5,4
scotch mints,the squeak of my walking stick,in packed snow,sballas,2,7,3
sleet through bare trees,a titmouse shows me,a fiery black eye,sballas,4,5,6
my brother's hello,the chill of the wind,on his jacket,sballas,5,5,4
fresh snow,"for the hands,",for the face,sballas,2,3,3
snowy day,nothing ordinary,about an orange,sballas,3,6,5
the birch trunk's sheen,moves when i do,winter solitude,sballas,4,4,5
burial,mourners and bare trees,blend,sballas,3,5,1
her empty bed,night rain,on fallen leaves,sballas,4,2,4
wind-bent grasses,we bow to each other,goose and i,sballas,3,6,3
